apparition	ghost	phantom
diddy	puffdaddy	puffy
augustus	caesaraugustus	gaiusoctavius
earth	globe	planetearth
frontman	leadvocalist	leadvocals
gallons	gallon	usgal
host	presenter	tvhost
mentalillness	psychiatricdisorders	psychiatricillness
distilledbeverage	liquor	spirits
cephas	peter	petrus
cheikh	shaikh	shaykh
dairycattle	dairycow
lancelot	sirlancelot
alfreddemusset	musset
antonym	opposites
smallbowel	smallintestine
televisionnetwork	tvnetwork
alecdouglashome	siralecdouglashome
charleslutwidgedodgson	lewiscarroll
landlockedcountry	landlocked
admiralnimitz	chesternimitz
afc	americanfootballconference
sids	suddeninfantdeathsyndrome
violins	violin
hafez	hafiz
pricewaterhousecoopers	pwc
vegetariancuisine	vegetarianfood
electricityconsumption	powerconsumption
epoch	j2000
death	deceased
bopomofo	zhuyin
reconquest	reconquista
carrots	carrot
heatconduction	thermalconduction
dellcomputer	dell
fordmotorcompany	ford
trabzon	trebizond
majapahitempire	majapahit
irreversibility	irreversibleprocess
bloombergbusinessweek	businessweek
medicalultrasonography	ultrasonography
mustela	weasel
mishnah	mishna
bobbydrake	iceman
greenarrow	oliverqueen
augusteescoffier	escoffier
nationaltransportationsafetyboard	ntsb
scotchwhisky	scotch
farm	taxfarming
dunsscotus	johndunsscotus
copper	cu
amartyasen	sen
insuranceagent	insurancebroker
jesuits	jesuit
tigrigna	tigrinya
kibibyte	kib
ya	youngadultliterature
nipponprofessionalbaseball	npb
jewellery	jewelry
experimentalmedicine	medicalresearch
arbitrariness	arbitrary
cyclops	scottsummers
bostonceltics	celtics
2lt	secondlieutenant
alecbaldwin	alec
eriksatie	satie
panicattacks	panicattack
anfieldroad	anfield
disneylandpark	disneyland
moscowstateuniversity	moscowuniversity
edvardgrieg	grieg
vab	vehicleassemblybuilding
kl	kualalumpur
dieselmultipleunit	dmu
captainnemo	nemo
countykerry	kerry
pilsner	pils
aquaman	orin
humanurine	urine
independentrecordlabel	independent
britishrailways	britishrail
madamabutterfly	madamebutterfly
colon	largeintestine
frodobaggins	frodo
ducks	duck
generalgeorgemarshall	georgemarshall
huntingtonlibrary	thehuntington
koreanconflict	koreanwar
britain	greatbritain
viennaphilharmonicorchestra	viennaphilharmonic
johnentwistle	theox
un	unitednations
frg	westgermany
dickcheney	vicepresidentdickcheney
harbor	harbour
nanjingmassacre	nankingmassacre
base	radix
menuet	minuet
batavia	jakarta
barber	samuelbarber
furlongs	furlong
madamechiang	soongmayling
bloodymary	marytudor
lordvishnu	vishnu
concordiauniversity	sirgeorgewilliamsuniversity
breeders	thebreeders
serbianlanguage	serbian
robertsmirke	sirrobertsmirke
sheffieldwednesday	theowls
bytes	byte
gelatine	gelatin
pacificcoastleague	pcl
freddiemercury	freddie
hibernian	hibs
suicidaltendencies	suicidal
pacifictimezone	pst
quarts	quart
chevrolet	chevy
ascomycetes	ascomycota
bondibeach	bondi
percentage	percent
choaterosemaryhall	choate
cornelluniversity	cornell
alfranken	franken
dukas	pauldukas
vistulariver	vistula
cemetery	graveyard
richtextformat	rtf
hindustaniclassicalmusic	hindustanimusic
alexanderii	emperoralexanderii
centrenationaldelarecherchescientifique	cnrs
mmhg	torr
firefox	mozillafirefox
developer	softwaredeveloper
elephants	elephant
omega3fattyacids	omega3fattyacid
pohnpei	ponape
bird	charlieparker
hofburgpalace	hofburg
pingpong	tabletennis
buenavistahomeentertainment	waltdisneystudioshomeentertainment
misfits	themisfits
apachesoftwarefoundation	asf
sulfate	sulphate
raaf	royalaustralianairforce
octaviaminor	octavia
mashad	mashhad
highercriticism	historicalcriticism
talcumpowder	talc
saragossa	zaragoza
nauticalmiles	nauticalmile
sakharepublic	yakutia
w3c	worldwidewebconsortium
jeffersonstarship	starship
gramophonerecord	vinylrecord
hertfordshire	herts
nb	newbrunswick
sadomasochism	sm
federalemergencymanagementagency	fema
alcs	americanleaguechampionshipseries
lutheranism	lutheran
nationalleaguechampionshipseries	nlcs
johnlocke	locke
canyon	gorge
melissajoanhart	melissa
thirteen	wnet
williamewartgladstone	williamgladstone
arlecchino	harlequin
regionalorganizations	regionalorganization
countylongford	longford
autoracing	automobileracing
fiume	rijeka
audiencia	realaudiencia
originalvideoanimation	ova
da	dopamine
pregnancy	pregnant
calvary	golgotha
realestateagent	realestatebroker
kristiania	oslo
boisestateuniversity	bsu
baptists	baptist
bruneidarussalam	brunei
ryuichisakamoto	sakamoto
plainsindians	plains
madeiraislands	madeira
pentecostalism	pentecostal
d66	democrats66
middleeasterncuisine	middleeastern
ba	britishairways
gravitationalslingshot	gravityassist
ariosto	ludovicoariosto
socialsecurityact	socialsecurity
shigaprefecture	shiga
acetylcholine	ach
homedepot	thehomedepot
melody	tune
succoth	sukkot
parasite	parasitism
echinodermata	echinoderm
quadraphonicsound	quadraphonic
pharmaceuticalindustry	pharmaceutical
scoobydoo	scooby
yamaguchiprefecture	yamaguchi
mortimerwheeler	sirmortimerwheeler
zoonoses	zoonosis
cme	coronalmassejection
carnegiemellonuniversity	cmu
byrds	thebyrds
guinevere	queenguinevere
corse	corsica
clinteastwood	clint
blackforest	schwarzwald
serbocroatianlanguage	serbocroatian
hippopotamus	hippo
burma	myanmar
vienna	wien
lightingdesigner	lightingdesign
geordilaforge	geordi
vintner	winemaker
principalskinner	seymourskinner
westlandaircraft	westland
hamlet	princehamlet
bl	yaoi
apartmentbuilding	apartment
mozart	wolfgangamadeusmozart
ipman	yipman
campidoglio	capitolinehill
countymeath	meath
croatiandemocraticunion	hdz
demons	melbournefootballclub
clemsonuniversity	clemson
tpgcapital	tpg
killerwhale	orca
anglocatholicism	anglocatholic
buddhahood	buddha
cityclerk	clerk
philadelphia	philly
annelida	annelid
mondaynightraw	wweraw
nationalrifleassociation	nra
freia	freyja
tatarlanguage	tatar
buddhism	buddhist
muscogee	muskogee
ziggymarley	ziggy
eastasia	easternasia
stacykeach	stacy
gynaecology	gynecology
clash	theclash
automotive	car
bigbopper	thebigbopper
greatreformact	reformact1832
newyorkstockexchange	nyse
haemophilia	hemophilia
cyprinidae	cyprinids
jewishchristians	jewishchristian
garbo	gretagarbo
kalmarcounty	kalmar
lowersaxony	niedersachsen
computationalscience	scientificcomputing
solarhotwater	solarwaterheating
lakedistrictnationalpark	lakedistrict
diabetesmellitustype1	type1diabetes
liliaceae	lilyfamily
unsecuritycouncil	unitednationssecuritycouncil
trafficcongestion	trafficjam
premiere	skydeutschland
passeri	songbird
nassauintercountyexpress	nice
peloponnese	peloponnesus
harrowschool	harrow
recall	recollection
colonelbogeymarch	colonelbogey
cellbiology	cytology
gioachinorossini	rossini
pine	pinus
constable	policeconstable
eukaryota	eukaryote
madmagazine	mad
malayalamlanguage	malayalam
commonfig	figs
generalomarbradley	omarbradley
americaonline	aol
emacs	gnuemacs
flu	influenza
bombay	mumbai
manganese	mn
diegomaradona	maradona
tulipa	tulip
breastmilk	humanmilk
lida	lyda
boccaccio	giovanniboccaccio
finzi	geraldfinzi
honeybee	honeybees
spreeriver	spree
nitroglycerine	nitroglycerin
hides	hide
bourbonwhiskey	bourbon
emmerdalefarm	emmerdale
apricots	apricot
securityguard	securityofficer
babydoc	jeanclaudeduvalier
theater	theatre
giuseppeverdi	verdi
cbs	columbiabroadcastingsystem
ammonia	anhydrousammonia
theundertones	undertones
applecomputers	appleinc
bavaria	bayern
salix	willow
cablenewsnetwork	cnn
euroamerican	europeanamerican
deputypresident	vicepresident
candidiasis	yeastinfection
kilobytes	kilobyte
antisocialbehaviour	antisocialbehavior
chekov	pavelchekov
veronicalodge	veronica
targetcorporation	target
champaignurbana	champaign
oxidation	redox
france	frenchrepublic
respiratorydiseases	respiratorydisease
whoi	woodsholeoceanographicinstitution
cronus	kronos
bronchialpneumonia	bronchopneumonia
kandinsky	wassilykandinsky
delays	thedelays
deutschebahnag	deutschebahn
hotelmanager	hotelier
generaldynamicscorporation	generaldynamics
dundeecity	dundee
navarra	navarre
digitalsignalprocessing	dsp
ala	americanlibraryassociation
zarathustra	zoroaster
juancarlos	kingjuancarlosi
indiclanguages	indoaryanlanguages
andrewlloydwebber	lloydwebber
colorblindness	colourblindness
delhi	nationalcapitalterritory
pallavadynasty	pallava
hemorrhoids	hemorrhoid
carlossantana	santana
baroquearchitecture	baroque
africannationalcongress	anc
unfpa	unitednationspopulationfund
glitterband	theglitterband
alabama	al
okehrecords	okeh
merano	meran
decibels	decibel
jeanpierrerampal	rampal
peterkember	sonicboom
barrygibb	barry
archives	archive
bonzodogband	bonzodogdoodahband
andalucia	andalusia
huldrychzwingli	ulrichzwingli
londonstanstedairport	stansted
trotskyism	trotskyist
sumerianlanguage	sumerian
communications	communication
abraham	ibrahim
vivendiuniversal	vivendi
johnkerry	senatorjohnkerry
travelagencies	travelagency
democraticnationalcommittee	dnc
chieftechnologyofficer	cto
southernfootballleague	southernleague
fielding	henryfielding
dinosauria	dinosaur
deathcult	thecult
madhuridixit	madhuri
busoni	ferrucciobusoni
cramps	thecramps
tagaloglanguage	tagalog
adobephotoshop	photoshop
netscapecommunicationscorporation	netscape
ld50	medianlethaldose
nileriver	nile
diatomicmolecule	diatomic
ernesthemingway	hemingway
casas	coleophora
chordata	chordate
vb	visualbasic
charlesives	ives
supportvectormachine	svm
helianthusannuus	sunflowers
dippydawg	goofy
newgeneralcatalogue	ngc
joelieberman	josephlieberman
gameshownetwork	gsn
deutschlandlied	germannationalanthem
ucsantacruz	ucsc
alger	algiers
mainriver	main
compliance	regulatorycompliance
edge	theedge
borderlinepersonalitydisorder	bpd
solo	surakarta
corfu	kerkyra
reliefpitcher	reliever
yevgenyzamyatin	zamyatin
johannpachelbel	pachelbel
internationalolympiccommittee	ioc
thomasalvaedison	thomasedison
chilipeppers	redhotchilipeppers
pixies	thepixies
character	fictionalcharacter
cherubini	luigicherubini
baleenwhale	mysticeti
bananas	banana
hour	hrs
augustopinochet	pinochet
homeshoppingnetwork	hsn
freefrance	freefrenchforces
pcr	polymerasechainreaction
wikimarkup	wikitext
aeronauticalengineering	aerospaceengineering
judygarland	judy
kiwifruit	kiwi
dfb	germanfootballassociation
akvavit	aquavit
bunny	rabbit
pahs	polycyclicaromatichydrocarbons
durante	jimmydurante
cosmicinflation	inflation
dlc	downloadablecontent
nationalcollegiateathleticassociation	ncaa
gloriaestefan	miamisoundmachine
thyroidgland	thyroid
romanesquearchitecture	romanesque
ermine	stoat
drusilla	dru
reggiemantle	reggie
wages	wage
aramaiclanguage	aramaic
jonnygreenwood	jonny
uniformresourcelocator	url
maasai	maa
manhattan	newyorkcounty
isleybrothers	theisleybrothers
coffeeshop	coffeehouse
domesticviolence	spousalabuse
aeneid	theaeneid
catty	jin
frenchsocialistparty	socialistparty
stalinism	stalinist
owl	webontologylanguage
originaldixielandjassband	originaldixielandjazzband
double	thedouble
m4sherman	shermantank
td	touchdown
bloodclot	thrombus
cervantes	migueldecervantes
madge	madonna
countywestmeath	westmeath
newmusicalexpress	nme
rudolphvalentino	valentino
greekrevivalarchitecture	greekrevival
paediatrics	pediatrics
buckminsterfullerene	buckyball
pashtolanguage	pashto
detroitredwings	redwings
af	atrialfibrillation
maxgoof	max
bowie	davidbowie
internationalspacestation	iss
hartmemorialtrophy	harttrophy
guangdongprovince	guangdong
tinytoonadventures	tinytoons
handgun	pistol
lenape	lennilenape
mankind	mickfoley
nationaltheatre	royalnationaltheatre
imperialrussia	russianempire
appletree	apple
gothicarchitecture	gothic
bittorrent	torrent
cambridgeuniversity	cambridge
zombies	zombie
erectiledysfunction	impotence
bronchodilators	bronchodilator
immunesuppression	immunosuppression
priondisease	tse
detective	policedetective
monatomicgas	monatomic
ltryptophan	tryptophan
chairs	chair
odyssey	theodyssey
ultimatefrisbee	ultimate
yazoo	yaz
bostonuniversity	bu
floridamarlins	miamimarlins
adamopelag	opel
douroriver	douro
poland	polska
joshuareynolds	sirjoshuareynolds
hectares	hectare
nbcsymphonyorchestra	nbcsymphony
sweet	thesweet
simontemplar	thesaint
tennessee	tn
guadalquivirriver	guadalquivir
geraldorivera	geraldo
alp	australianlaborparty
elmcity	newhaven
ringostarr	ringo
georgwilhelmfriedrichhegel	hegel
theyardbirds	yardbirds
isopropanol	isopropylalcohol
denisdiderot	diderot
nigellalawson	nigella
mandatepalestine	mandatorypalestine
gnulessergeneralpubliclicense	lgpl
totalsa	total
insanity	madness
husky	siberianhusky
ucsandiego	ucsd
sidjames	sidneyjames
falseetymology	folketymology
jamesdean	jimmydean
turntablism	turntablist
marywollstonecraft	wollstonecraft
symbols	symbol
a500	amiga500
microscopicscale	microscopic
alghazali	algazel
danielhandler	lemonysnicket
kinneret	laketiberias
ethers	ether
faeroeislands	faroeislands
treyanastasio	trey
gameboyadvance	gba
gaul	romangaul
kareemabduljabbar	lewalcindor
episcopalchurch	protestantepiscopalchurch
williamwordsworth	wordsworth
arcminutes	arcminute
ernestshackleton	sirernestshackleton
matchgame	thematchgame
socialisation	socialization
avedon	richardavedon
cervidae	deer
apulia	puglia
continents	continent
antidepressants	antidepressant
merovingiandynasty	merovingian
ethnicgroup	ethnicity
tacticalstudiesrules	tsr
neurodegeneration	neurodegenerativedisease
drugtrafficking	illegaldrugtrade
haddontownship	westmont
zinc	zn
buggles	thebuggles
annettefunicello	annette
irishnavalservice	navalservice
oriental	orient
bagpipes	bagpipe
cincinnati	queencity
mithraicmysteries	mithraism
maggiesimpson	maggie
jeangiraud	moebius
internetrelaychat	ircclient
heritagefoundation	theheritagefoundation
ralphrichardson	sirralphrichardson
upperdublintownship	upperdublin
musclecontractions	musclecontraction
buildingconstruction	construction
injuries	injury
thetrojanwomen	trojanwomen
militaryhelicopters	militaryhelicopter
commons	thecommons
urate	uricacid
swans	sydneyswans
apparel	clothing
johnxii	popejohnxii
leiden	leyden
altcountry	alternativecountry
balkanmountains	staraplanina
preeclampsia	toxemia
saintsebastian	sebastian
horowitz	vladimirhorowitz
partygames	partygame
memorabilia	souvenir
elektrarecords	elektra
mins	minute
psychosis	psychoticdisorders
lycra	spandex
malmstromafb	malmstromairforcebase
gnss	satellitenavigation
yleisradio	yle
apiculture	beekeeping
stevevanzandt	stevenvanzandt
arminianism	arminian
buffalobillcody	buffalobill
zululanguage	zulu
couch	sofa
scifichannel	syfy
quantitative	quantity
naturalhistorymuseum	thenaturalhistorymuseum
oglalalakota	oglala
hypodermis	subcutaneoustissue
sydneycbd	sydneycentralbusinessdistrict
sicilia	sicily
eielsonafb	eielsonairforcebase
mycenaeangreece	mycenaeanperiod
cube	icecube
germanmeasles	rubella
capsize	capsizing
vampires	vampire
kingdom	monarchy
stettin	szczecin
harvarduniversity	harvard
conferencecentre	conventioncenter
karlovyvary	karlsbad
storm	thunderstorm
neurolinguisticprogramming	nlp
severussnape	snape
rfu	rugbyfootballunion
securesocketslayer	transportlayersecurity
computersciencescorporation	csc
uncharter	unitednationscharter
dantealighieri	dante
brussels	bruxelles
latifah	queenlatifah
yukonterritory	yukon
avrillavigne	avril
bayerag	bayer
radiofranceinternationale	rfi
meatballs	meatball
boleynground	uptonpark
netassets	networth
neilpeart	peart
britannia	romanbritain
allmanbrothers	theallmanbrothersband
they	ymca
olfaction	smell
bouncer	doorman
cms	contentmanagementsystem
rash	skinrash
pmdd	premenstrualdysphoricdisorder
bigisland	hawaii
amilcareponchielli	ponchielli
christopherwren	sirchristopherwren
oxfordshire	oxon
cardassianunion	cardassian
johnpaulii	popejohnpaulii
idm	intelligentdancemusic
swansongrecords	swansong
inches	inch
afroasiatic	afroasiaticlanguages
gregoryv	popegregoryv
bigpinekey	bigpine
lion	pantheraleo
specials	thespecials
brahms	johannesbrahms
vertebrata	vertebrate
ficus	fig
carlgustavjung	carljung
covertaction	covertoperation
miyagiprefecture	miyagi
chrysalisrecords	chrysalis
betrothal	engagement
majorca	mallorca
yeniseiriver	yenisey
stationagent	stationmaster
generalaccountingoffice	governmentaccountabilityoffice
sansinstitute	sans
kimkardashian	kim
abruzzi	abruzzo
abolitionism	abolitionist
naras	therecordingacademy
kylieminogue	kylie
bbc2	bbctwo
canadianfootballleague	cfl
taste	thetaste
siouxsiesioux	siouxsie
plans	plan
citycentre	manchestercitycentre
unitarianuniversalism	unitarianuniversalist
musclepain	myalgia
charleswheatstone	sircharleswheatstone
opensourceinitiative	osi
octa	orangecountytransportationauthority
bostonpopsorchestra	bostonpops
carbondioxide	co2
awol	desertion
ketubah	marriagecontract
bonhamcarter	helenabonhamcarter
primeministertonyblair	tonyblair
itunesmusicstore	itunesstore
secondvaticancouncil	vaticanii
tanjore	thanjavur
marsh	morass
mentalfunction	mentalprocess
bakingsoda	sodiumbicarbonate
chams	cham
gudrun	kriemhild
hpylori	helicobacterpylori
platformgame	platformer
mentalbreakdown	nervousbreakdown
chicomarx	chico
bantupeoples	bantu
arizona	az
igorstravinsky	stravinsky
chineseconstellations	chineseconstellation
hampdenpark	hampden
israelites	israelite
grouchomarx	groucho
teiresias	tiresias
mentha	mint
poles	polishpeople
johncoltrane	trane
generalpractitioner	gp
littleegypt	southernillinois
sabbaticalyear	sabbatical
moorish	moors
advertisingagencies	advertisingagency
sovietunion	ussr
thread	yarn
sichuanprovince	sichuan
tigrisriver	tigris
kilometres	kilometre
marquisdesade	sade
northindia	northernindia
chomsky	noamchomsky
drivingmissdaisy	missdaisy
humanskeleton	skeletalsystem
foxmulder	mulder
caravanpark	rvpark
bigredmachine	thebigredmachine
borinquen	puertorico
emiliaromagna	emilia
floorcovering	flooring
electromagneticpulse	emp
olympicgames	olympics
normanarchitecture	norman
gilbertislands	kiribati
female	girl
congas	conga
changingroom	lockerroom
ilocano	ilokano
hydrologiccycle	watercycle
shanstate	shan
buenosairesprovince	buenosaires
kwazulunatal	natal
simonrattle	sirsimonrattle
orchidaceae	orchid
wcw	worldchampionshipwrestling
hebe	juventas
laurenceolivier	sirlaurenceolivier
bbcradio1	bbcradioone
rnainterference	rnai
daeva	div
hollywoodsquares	thehollywoodsquares
eastindies	indies
expressionism	expressionist
scallions	scallion
crawfish	crayfish
newhampshire	nh
turbocharger	turbo
icu	intensivecareunit
infectiousmononucleosis	mononucleosis
jacobiterebellion	jacobiterisings
kamehamehai	kamehameha
huanghe	yellowriver
greenlantern	haljordan
westtexasintermediate	wti
fungicides	fungicide
dns	domainnamesystem
wiredmagazine	wired
loyaltycard	loyaltyprogram
robertwalpole	sirrobertwalpole
impulsiveness	impulsivity
valentines	valentine
euro	eur
rheinlandpfalz	rhinelandpalatinate
katagalugan	tagalogrepublic
nematode	roundworms
broiling	grilling
arts	thearts
hebrewcalendar	jewishcalendar
blackbeard	edwardteach
crataegus	hawthorn
sharpcorporation	sharp
centralnervoussystem	cns
pants	trousers
costello	loucostello
palaeozoic	paleozoic
bennyandersson	benny
flaminglips	theflaminglips
midwaygames	midway
radiofrequencyidentification	rfid
infrared	ir
lochnessmonster	nessie
wisconsin	wi
nclb	nochildleftbehindact
diodorussiculus	diodorus
chicagosymphonyorchestra	cso
misterfantastic	reedrichards
doublebill	doublefeature
easternseaboard	useastcoast
metropolitantransportationauthority	mta
bassocontinuo	figuredbass
atlantabraves	bostonbraves
fmbroadcasting	fmradio
inclination	orbitalinclination
decompressionsickness	thebends
ostrogoths	ostrogoth
guardian	theguardian
friedrichnietzsche	nietzsche
fashionindustry	fashion
sandman	thesandman
littoralzone	littoral
frankzappa	zappa
jeanracine	racine
klingklangstudio	klingklang
eiffeltower	latoureiffel
vandenbergafb	vandenbergairforcebase
arthropoda	arthropod
isaacnewton	sirisaacnewton
averroes	ibnrushd
bestmotionpicture	outstandingproduction
affleck	benaffleck
punchcard	punchedcard
maximization	profitmotive
la	losangeles
indochina	mainlandsoutheastasia
rosettatharpe	sisterrosettatharpe
berlinairlift	berlinblockade
specialforces	specialoperationsforces
corn	maize
northamptonshire	northants
adarii	adar
mukden	shenyang
washingtonstateuniversity	wsu
footballleaguechampionship	thechampionship
artgallery	artmuseum
saudiarabianairlines	saudia
flushing	vlissingen
romulusaugustulus	romulusaugustus
almshouses	almshouse
1stavenue	firstavenue
hst	hubblespacetelescope
crystalpalacefc	crystalpalace
vanswarpedtour	warpedtour
claraschumann	clarawieck
typhoeus	typhon
partridgefamily	thepartridgefamily
amudarya	oxusriver
ntl	virginmedia
arnoldschoenberg	schoenberg
medina	yathrib
forest	nottinghamforest
turnips	turnip
odor	odour
haymarkettheatre	theatreroyalhaymarket
supernovae	supernova
wirelesscommunication	wireless
cockneyrhymingslang	rhymingslang
ashoka	asoka
tyndallafb	tyndallairforcebase
chaucer	geoffreychaucer
clare	countyclare
bonnieprincecharlie	charlesedwardstuart
x11	xwindowsystem
exercise	physicalexercise
z80	zilogz80
charlesdickens	dickens
rutgersuniversity	rutgers
robertschumann	schumann
bharatiyajanataparty	bjp
grandprixmotorcycleracing	motogp
davidletterman	letterman
iannisxenakis	xenakis
cfo	chieffinancialofficer
torpedobomber	torpedo
pstn	publicswitchedtelephonenetwork
chrome	googlechrome
valar	vala
burns	burn
parlophonerecords	parlophone
athleticbilbao	athleticclub
formula2	formulatwo
westerncivilization	westernculture
newyorkuniversity	nyu
englishamericans	englishamerican
agerelatedmaculardegeneration	maculardegeneration
husaynibnali	husseinibnali
allergies	allergy
dayakpeople	dayak
reval	tallinn
tartaricacid	tartrate
myopathies	myopathy
flaviusjosephus	josephus
defjamrecordings	defjam
jamesbowie	jimbowie
friso	princefriso
sco	shanghaicooperationorganisation
stringinstruments	stringinstrument
lives	parallellives
bridegroom	groom
mainlineprotestant	mainline
orrinhatch	senatorhatch
headaches	headache
monkees	themonkees
popmusic	pop
caucasian	white
bluesmusic	blues
easternorthodoxchurch	easternorthodoxy
endemic	endemism
nato	northatlantictreatyorganization
strangling	strangulation
solubility	soluble
insights	insight
onlineauctions	onlineauction
islamicworld	muslimworld
animals	theanimals
harpomarx	harpo
indianajones	indy
hollomanafb	hollomanairforcebase
welshlanguage	welsh
nortelnetworks	nortel
nellisafb	nellisairforcebase
moogsynthesizer	moog
povertyalleviation	povertyreduction
captainjohnsmith	johnsmith
televisionnewzealand	tvnz
hermitagemuseum	statehermitagemuseum
jove	jupiter
antonrubinstein	rubinstein
cork	countycork
socialistleftparty	sv
environmentalremediation	remediation
semiology	semiotics
painmanagement	painmedicine
rangefindercamera	rangefinder
sketchcomedy	sketch
advancedmicrodevices	amd
radhakrishnan	sarvepalliradhakrishnan
lebronjames	lebron
ginrummy	gin
mcg	melbournecricketground
hellenisticcivilization	hellenisticperiod
solarmasses	solarmass
noblemetals	noblemetal
countymayo	mayo
clujnapoca	cluj
cab	taxicab
shaolinmonastery	shaolintemple
blackeyedpeas	theblackeyedpeas
rapture	therapture
generalanaesthesia	generalanesthesia
takeshikitano	takeshi
color	colour
handheld	mobiledevice
gustavholst	holst
humber	riverhumber
cubits	cubit
forestlawncemetery	forestlawnmemorialpark
midwesternunitedstates	midwest
woodywoodpecker	woody
antonvanleeuwenhoek	antonievanleeuwenhoek
henrymancini	mancini
abominablesnowman	yeti
hondacenter	thepond
institutions	institution
v2rocket	v2
hina	ina
catherinezetajones	zetajones
mexicans	mexican
fortcarillon	fortticonderoga
pyruvate	pyruvicacid
aud	australiandollar
westernmovie	western
sirthomasbeecham	thomasbeecham
fortunes	thefortunes
presidentrichardnixon	richardnixon
etruscanlanguage	etruscan
marquess	marquis
musicnotation	musicalnotation
bbb	betterbusinessbureau
kings	sacramentokings
regulatoryagency	regulatoryauthority
marinescience	oceanography
yongleemperor	zhudi
santacruzdelasierra	santacruz
lockerbiebombing	panamflight103
esfahan	isfahan
princessleiaorgana	princessleia
terminator	theterminator
pet	positronemissiontomography
september	sep
heilongjiangprovince	heilongjiang
fatigue	metalfatigue
loch	lough
augustinians	augustinian
selfconfidence	selfconfident
heinrichhimmler	himmler
associates	theassociates
urdulanguage	urdu
ditko	steveditko
gogol	nikolaigogol
geneticmutation	mutation
northernpacificrailroad	northernpacificrailway
grimm	jacobgrimm
qld	queensland
friedrichbessel	friedrichwilhelmbessel
drowsiness	somnolence
batman	brucewayne
georgphilipptelemann	telemann
beetroot	beet
cylinder	cylindrical
drugaddiction	drugdependence
sirwalterraleigh	walterraleigh
jewishdenominations	jewishreligiousmovements
silverstonecircuit	silverstone
floydmayweatherjr	floydmayweather
brassknuckles	knuckles
joseph	yosef
coblenz	koblenz
trafficlight	trafficsignal
atlanticintracoastalwaterway	intracoastalwaterway
afghanwhigs	theafghanwhigs
hammerfilmproductions	hammerhorror
fenderrhodes	rhodespiano
graphicaluserinterface	gui
papalcourt	papalhousehold
uniformresourceidentifier	uri
ecoli	escherichiacoli
unitedserviceorganizations	uso
requiemmass	requiem
anatomicallymodernhumans	homosapienssapiens
nationalism	nationalist
mailcarrier	postman
schroonlake	schroon
adultfilm	pornographicfilm
astronaut	cosmonaut
bakhtin	mikhailbakhtin
pensionfunds	pensionfund
violadagamba	viol
wembleystadium	wembley
platters	theplatters
porphyrias	porphyria
oldvictheatre	theoldvic
consumerpriceindex	cpi
cajuncuisine	cajun
westwoodstudios	westwood
lordshiva	shiva
tajmahal	taj
ronettes	theronettes
bigshow	thegiant
halfmast	halfstaff
phibetakappasociety	phibetakappa
adolphzukor	zukor
labradorretriever	labrador
nicholasii	tsarnicholasii
masovia	mazovia
gretzky	waynegretzky
liamgallagher	liam
internet	theinternet
jpeg	jpg
gerihalliwell	geri
senecapeople	senecatribe
iucn	worldconservationunion
ascalon	ashkelon
boss	finalboss
caribbeancuisine	caribbean
tube	tubing
somalilanguage	somali
propertydeveloper	realestatedevelopment
stenosis	stricture
formula3	formulathree
dracomalfoy	draco
brooklyn	kingscounty
harrypotter	harry
brakepads	brakepad
passeriformes	passerine
southasia	southernasia
russianfederation	russia
globuspallidus	pallidum
charpentier	marcantoinecharpentier
playstation2	ps2
flagellation	flogging
plc	publiclimitedcompany
estatetax	inheritancetax
countysligo	sligo
dischordrecords	dischord
righteousbrothers	therighteousbrothers
peachtree	peach
baritonesaxophone	baritonesax
lessersundaislands	nusatenggara
greenhornet	thegreenhornet
aclu	americancivillibertiesunion
endtimes	lastdays
bugsbunny	bugs
volkswagen	vw
holidays	holiday
psveindhoven	psv
faa	federalaviationadministration
traineraircraft	trainer
grammyawards	grammys
bassrivertownship	bassriver
coroners	coroner
americanpsychologicalassociation	apa
mems	microelectromechanicalsystems
miscarriage	spontaneousabortion
carmelites	carmelite
nursery	plantnursery
adobeillustrator	illustrator
creationrecords	creation
mtvunplugged	unplugged
blog	weblog
agt	telus
nonesuchrecords	nonesuch
oldeastslavic	oldrussian
dha	docosahexaenoicacid
tianjin	tientsin
calcutta	kolkata
13colonies	thirteencolonies
annuities	annuity
nbaslamdunkcontest	slamdunkcontest
northwestterritories	nwt
allamerican	allamerica
fairchildafb	fairchildairforcebase
mercuryprogram	projectmercury
parsecs	parsec
holytrinity	trinity
playoffs	playoff
heavymetalmusic	heavymetal
fatty	roscoearbuckle
nationalfilmboard	nfb
drcongo	rdc
groundzero	worldtradecentersite
pop3	postofficeprotocol
religiousmusic	sacredmusic
smiths	thesmiths
clayanimation	claymation
sverigestelevision	svt
cavan	countycavan
animatedgif	gif
moonglows	themoonglows
squaresoft	square
calvinism	calvinist
palaeontology	paleontology
norwegianlanguage	norwegian
malcolmsargent	sirmalcolmsargent
freud	sigmundfreud
legislativepower	legislature
cataracts	cataract
anjouan	nzwani
mexico	unitedmexicanstates
hakkachinese	hakka
organtransplantation	organtransplant
playingcards	playingcard
antoniafraser	ladyantoniafraser
balkanpeninsula	balkans
everglades	floridaeverglades
sportingnews	thesportingnews
squaremetres	squaremetre
oklahomacitythunder	thunder
filmdirector	filmmaker
lombardia	lombardy
logarithms	logarithm
peakdistrictnationalpark	peakdistrict
charlesgounod	gounod
boac	britishoverseasairwayscorporation
pepsicola	pepsi
organdonation	organdonor
